,province,country,id,value,color,Change,value_old,color_old,Change1
278,North Carolina,US,mixed_33,1.0,red,yellow,0.959843291,red,Cases almost under control
279,Virginia,US,mixed_34,0.951216838,red,yellow,0.924358693,red,Cases almost under control
280,District of Columbia,US,mixed_35,0.688719899,orange,yellow,0.682636248,orange,Cases almost under control
281,Maryland,US,mixed_36,0.927775197,red,yellow,0.82438458,red,Cases almost under control
282,Delaware,US,mixed_37,0.81006259,red,yellow,0.792007703,red,Cases almost under control
283,New Jersey,US,mixed_38,0.314332834,yellow,yellow,0.32120683,yellow,Cases almost under control
284,Connecticut,US,mixed_39,0.500769116,orange,yellow,0.528109959,orange,Cases almost under control
285,Washington,US,mixed_4,0.387110318,yellow,yellow,0.445785662,orange,Cases almost under control
286,Rhode Island,US,mixed_40,0.516563945,orange,yellow,0.518618387,orange,Cases almost under control
287,Massachusetts,US,mixed_41,0.464627434,orange,yellow,0.4861558,orange,Cases almost under control
288,Oregon,US,mixed_42,0.653872515,orange,yellow,0.814941741,red,Cases almost under control
289,Hawaii,US,mixed_47,0.019748654,green,yellow,0.039497307,green,Cases almost under control
290,Utah,US,mixed_49,0.961381476,red,yellow,0.889481947,red,Cases almost under control
291,Wyoming,US,mixed_50,0.512658228,orange,yellow,0.483122363,orange,Cases almost under control
292,Nevada,US,mixed_51,0.740825688,orange,yellow,0.695609436,orange,Cases almost under control
293,Colorado,US,mixed_52,0.583226044,orange,yellow,0.614217399,orange,Cases almost under control
294,South Dakota,US,mixed_53,0.561620469,orange,yellow,0.820042644,red,Cases almost under control
295,Nebraska,US,mixed_54,0.688282805,orange,yellow,0.608919583,orange,Cases almost under control
296,Kansas,US,mixed_55,0.509575354,orange,yellow,0.484096586,orange,Cases almost under control
297,Oklahoma,US,mixed_56,0.867132867,red,yellow,0.767585356,orange,Cases almost under control
298,Iowa,US,mixed_57,0.64544676,orange,yellow,0.64573223,orange,Cases almost under control
299,Missouri,US,mixed_58,0.58954197,orange,yellow,0.570473757,orange,Cases almost under control
300,Wisconsin,US,mixed_59,1.0,red,yellow,0.925854953,red,Cases almost under control
301,Idaho,US,mixed_6,0.32386059,yellow,yellow,0.25844504,yellow,Cases almost under control
302,Illinois,US,mixed_60,0.840186825,red,yellow,0.851435244,red,Cases almost under control
303,Kentucky,US,mixed_61,0.809572826,red,yellow,0.761451364,orange,Cases almost under control
304,Arkansas,US,mixed_62,0.986377925,red,yellow,0.739892665,orange,Cases almost under control
305,Tennessee,US,mixed_63,0.619669876,orange,yellow,0.607290234,orange,Cases almost under control
306,West Virginia,US,mixed_64,0.794486216,orange,yellow,0.468671679,orange,Cases almost under control
307,Indiana,US,mixed_65,0.743073231,orange,yellow,0.720456694,orange,Cases almost under control
308,Montana,US,mixed_7,0.087719298,green,yellow,0.055137845,green,Cases almost under control
309,,Uzbekistan,211,0.465760322,orange,green,0.444612286,orange,Cases under control
310,,Venezuela,213,1.0,red,yellow,1.0,red,Cases almost under control
311,,Vietnam,215,0.313043478,yellow,yellow,0.27826087,yellow,Cases almost under control
312,,West Bank and Gaza,,0.251308901,yellow,green,0.031413613,green,Cases under control
313,,Western Sahara,236,0.0,green,,0.0,green,
314,,Yemen,221,0.992982456,red,green,0.180288462,yellow,Cases under control
315,,Zambia,222,0.798157454,green,green,1.0,red,Cases under control
316,,Zimbabwe,223,0.966666667,red,green,0.714285714,orange,Cases under control
317,,Tajikistan,195,,,green,,,Cases under control
