jhu_province,jhu_country,province,country,id,value,color,Change,value_old,color_old
,Paraguay,,Paraguay,160,0.221850613,yellow,red,0.609810479,orange
,Peru,,Peru,161,0.942766316,red,,0.95111974,red
,Philippines,,Philippines,172,0.761990624,orange,red,0.760908763,orange
,Poland,,Poland,163,0.940873016,red,,0.88247012,red
,Portugal,,Portugal,165,0.276244846,yellow,red,0.259372027,yellow
,Qatar,,Qatar,168,0.964229249,red,yellow,0.977652167,red
,Romania,,Romania,170,0.498699877,orange,red,0.606541672,orange
,Russia,,Russia,174,0.826711405,red,,0.919878761,red
,Rwanda,,Rwanda,175,0.333333333,yellow,green,0.193236715,yellow
,Saint Kitts and Nevis,,Saint Kitts and Nevis,177,0,green,,0,green
,Saint Lucia,,Saint Lucia,188,0,green,,0,green
,Saint Vincent and the Grenadines,,Saint Vincent and the Grenadines,212,0.090909091,green,,0,green
,San Marino,,San Marino,234,0.123493976,yellow,green,0.189759036,yellow
,Sao Tome and Principe,,Sao Tome and Principe,199,0.177884615,yellow,red,0,green
,Saudi Arabia,,Saudi Arabia,176,0.97597069,red,yellow,0.981556729,red
,Senegal,,Senegal,182,0.864185111,red,yellow,0.966229839,red
,Serbia,,Serbia,237,0.21464108,yellow,yellow,0.203127221,yellow
,Seychelles,,Seychelles,178,0,green,yellow,0,green
,Sierra Leone,,Sierra Leone,184,0.90858209,red,,1,red
,Singapore,,Singapore,185,0.583467959,orange,green,0.723209478,orange
,Slovakia,,Slovakia,104,0.066604995,green,red,0.081406105,green
,Slovenia,,Slovenia,183,0.01320132,green,red,0.03630363,green
,Somalia,,Somalia,186,0.774224806,orange,yellow,0.96195122,red
,South Africa,,South Africa,179,0.974855156,red,yellow,1,red
,Spain,,Spain,187,0.14844185,yellow,red,0.246193429,yellow
,Sri Lanka,,Sri Lanka,25,0.439735099,orange,green,0.401324503,orange
,Sudan,,Sudan,189,0.984379694,red,green,0.907367668,red
,Suriname,,Suriname,157,0.142857143,yellow,green,0,green
,Sweden,,Sweden,190,0.834092544,red,,0.830975785,red
,Switzerland,,Switzerland,192,0.028483625,green,red,0.038574443,green
,Syria,,Syria,191,0.575,orange,green,0.6,orange
,Taiwan*,,Taiwan*,245,0.005333333,green,,0,green
,Tanzania,,Tanzania,204,0,green,black,0.054104478,green
,Thailand,,Thailand,194,0.016380016,green,,0.026208026,green
,Timor-Leste,,Timor-Leste,228,0,green,,0,green
,Togo,,Togo,198,0.832432432,red,green,0.958333333,red
