province,country,id,value,color,Change,value_old,color_old
,San Marino,234,0.12349397599999999,yellow,green,0.18975903600000002,yellow
,Sao Tome and Principe,199,0.177884615,yellow,green,0.0,green
,Saudi Arabia,176,0.97597069,red,yellow,0.981556729,red
,Senegal,182,0.864185111,red,yellow,0.966229839,red
,Serbia,237,0.21464108,yellow,yellow,0.20312722100000002,yellow
,Seychelles,178,0.0,green,green,0.0,green
,Sierra Leone,184,0.90858209,red,green,1.0,red
,Singapore,185,0.583467959,orange,green,0.723209478,orange
,Slovakia,104,0.066604995,green,red,0.081406105,green
,Slovenia,183,0.01320132,green,red,0.03630363,green
,Somalia,186,0.774224806,orange,yellow,0.96195122,red
,South Africa,179,0.974855156,red,yellow,1.0,red
,Spain,187,0.14844185,yellow,red,0.246193429,yellow
,Sri Lanka,25,0.43973509899999996,orange,red,0.40132450299999994,orange
,Sudan,189,0.984379694,red,green,0.907367668,red
,Suriname,157,0.14285714300000002,yellow,green,0.0,green
,Sweden,190,0.8340925440000001,red,red,0.830975785,red
,Switzerland,192,0.028483625,green,red,0.038574443,green
,Syria,191,0.575,orange,red,0.6,orange
,Taiwan*,245,0.005333333000000001,green,green,0.0,green
,Tanzania,204,0.0,green,green,0.054104478,green
,Thailand,194,0.016380016,green,green,0.026208026000000002,green
,Timor-Leste,228,0.0,green,green,0.0,green
,Togo,198,0.832432432,red,green,0.958333333,red
,Trinidad and Tobago,193,0.0,green,red,0.0,green
,Tunisia,200,0.042049934000000004,green,red,0.023653088,green
,Turkey,201,0.275705896,yellow,red,0.334086289,yellow
,Uganda,205,0.281786942,yellow,red,0.9960474309999999,red
,Ukraine,207,0.811582213,red,red,0.899276112,red
,United Arab Emirates,227,0.9683711770000001,red,red,0.9768687090000001,red
Falkland Islands (Malvinas),United Kingdom,61,0.0,green,green,1.0,red
Anguilla,United Kingdom,127,0.0,green,green,0.083333333,green
British Virgin Islands,United Kingdom,214,0.333333333,yellow,green,0.0,green
Turks and Caicos Islands,United Kingdom,235,0.0,green,green,0.333333333,yellow
Bermuda,United Kingdom,uk_206,0.159090909,yellow,green,0.113636364,yellow
Cayman Islands,United Kingdom,uk_207,1.0,red,green,0.364864865,yellow
Channel Islands,United Kingdom,uk_208,0.042682927,green,green,0.036585366,green
Gibraltar,United Kingdom,uk_209,0.045751634000000006,green,green,0.026143791,green
Guernsey,United Kingdom,uk_210,,green,,,green
Isle of Man,United Kingdom,uk_211,0.030100334,green,green,0.040133779,green
Jersey,United Kingdom,uk_212,,green,,,green
Montserrat,United Kingdom,uk_213,0.0,green,green,0.0,green
,United Kingdom,uk_214,0.48142412,orange,red,0.638964176,orange
,Uruguay,210,0.155902004,yellow,green,0.20044543399999998,yellow
Georgia,US,67,0.727813041,orange,red,0.6554529720000001,orange
Guam,US,72,0.192592593,yellow,red,0.059259259,green
Puerto Rico,US,173,0.9572192509999999,red,red,0.7386363640000001,orange
Virgin Islands,US,216,0.0,green,green,0.04444444400000001,green
North Dakota,US,mixed_10,0.9718599859999999,red,red,0.95256167,red
Michigan,US,mixed_12,0.38219930399999996,yellow,red,0.339974551,yellow
Maine,US,mixed_13,1.0,red,red,0.8690012970000001,red
Ohio,US,mixed_16,0.677234165,orange,red,0.682464757,orange
New Hampshire,US,mixed_17,0.788359788,orange,red,0.7417989420000001,orange
New York,US,mixed_18,0.19194752199999998,yellow,yellow,0.218826993,yellow
Vermont,US,mixed_19,0.061617458,green,green,0.057766367,green
Minnesota,US,mixed_2,0.975758984,red,red,0.929884968,red
Pennsylvania,US,mixed_20,0.5418896529999999,orange,red,0.575719929,orange
Arizona,US,mixed_21,0.9166980779999999,red,yellow,0.93215228,red
California,US,mixed_22,0.9671371390000001,red,red,0.924269289,red
New Mexico,US,mixed_23,0.794178794,red,red,0.804870805,red
Texas,US,mixed_24,0.908200538,red,red,0.944783797,red
Alaska,US,mixed_25,0.152671756,yellow,red,0.09541984699999999,green
Louisiana,US,mixed_27,0.32319445399999996,yellow,red,0.260203721,yellow
Mississippi,US,mixed_28,0.94511427,red,red,0.86665467,red
Alabama,US,mixed_29,0.9756714059999999,red,red,0.8626160340000001,red
Florida,US,mixed_30,0.650033445,orange,yellow,0.586354515,orange
South Carolina,US,mixed_32,0.8505894409999999,red,red,0.80035879,red
North Carolina,US,mixed_33,1.0,red,red,0.959843291,red
Virginia,US,mixed_34,0.951216838,red,red,0.924358693,red
District of Columbia,US,mixed_35,0.6887198990000001,orange,red,0.682636248,orange
Maryland,US,mixed_36,0.927775197,red,red,0.82438458,red
Delaware,US,mixed_37,0.81006259,red,red,0.792007703,red
New Jersey,US,mixed_38,0.314332834,yellow,yellow,0.32120683,yellow
Connecticut,US,mixed_39,0.5007691160000001,orange,red,0.528109959,orange
Washington,US,mixed_4,0.38711031799999995,yellow,red,0.445785662,orange
Rhode Island,US,mixed_40,0.516563945,orange,red,0.5186183870000001,orange
Massachusetts,US,mixed_41,0.464627434,orange,red,0.4861558,orange
